;X;Y;Z;Rf;Gf;Bf;Af
247;-0.44756050;0.66168030;0.02239996;0.737255;0.721569;0.635294;1
248;-1.17845080;0.83527000;0.73041993;0.290196;0.286275;0.235294;1
249;-0.88194962;0.14282997;1.28669007;0.501961;0.333333;0.278431;1
250;-0.64301987;2.19567022;0.71538001;0.0470588;0.517647;0.458824;1
251;-0.96112938;0.83218964;0.14073997;0.211765;0.345098;0.262745;1
252;-1.17244074;0.05350025;0.10526997;0.694118;0.282353;0.247059;1
253;-0.37396929;0.85499962;0.42729002;0.294118;3;0.952941;1
254;-1.22796936;0.05756958;1.04342991;0.196078;0.188235;0.12549;1
255;-1.50610085;0.12067039;1.28744989;0.34902;0.219608;0.192157;1
256;-1.19106026;0.52575024;1.28870994;0.439216;0.305882;0.235294;1
257;-0.57179947;0.44709023;1.18665009;0.435294;0.360784;0.298039;1
258;-0.40926094;0.76078995;0.87359005;0.352941;0.819608;0.717647;1
259;-0.77328033;2.22999010;0.34196001;0.286275;0.827451;0.658824;1
260;-0.05174942;1.96051989;0.99702006;0.25098;0.972549;0.980392;1
261;-0.41853065;0.72622974;0.40586000;0.490196;0.976471;0.976471;1
262;-0.41894073;0.73375996;0.61800009;0.278431;1;1;1
263;-0.02562065;0.65170963;1.23140007;0.580392;0.1247059;0.1458821;1
264;-0.76200981;0.71284969;1.29080993;0.505882;0.1784314;0.2043134;1
265;-0.13468094;0.74366959;1.23319989;0.552941;1;1;1
266;-0.94052048;0.87197025;0.15963000;0.207843;0.305882;0.270588;1
267;-0.42891998;0.19326027;1.00161010;0.0392157;0.247059;0.203922;1
268;-0.93893929;0.07481964;1.28570992;0.466667;0.321569;0.266667;1
269;-1.02905962;0.02274044;1.29023009;0.427451;0.298039;0.243137;1
270;-0.67192003;0.43688972;1.28747993;0.541176;0.356863;0.286275;1
271;-2.12308046;0.56863983;1.27983004;0.290196;0.101961;0.0862745;1
272;-0.105798034;0.80805977;1.10857993;0.321569;0.996078;0.996078;1
273;-0.142026023;0.22198017;1.29134995;0.670588;0.619608;0.494118;1
274;-1.33208010;0.82775028;1.28830009;0.34902;0.298039;0.235294;1
275;-0.34889910;0.36028965;1.00122005;0.0666667;0.384314;0.329412;1
276;-1.00779078;0.74454029;0.79693013;0.184314;0.254902;0.156863;1
277;-0.13666077;0.69167049;1.46291998;0.556863;1;1;1
278;-0.93102951;0.61380966;1.52050998;0.427451;0.380392;0.298039;1
279;-0.93645973;0.90598019;0.193590980;0.152941;0.341176;0.286275;1
280;-1.38556025;0.12489994;0.227257972;0.14902;0.286275;0.164706;1
281;-0.89701958;0.71181973;1.28999003;0.45098;0.392157;0.309804;1
282;-0.45186920;2.13309012;0.120522934;0.176471;0.847059;0.666667;1
283;-0.52871056;0.69096001;0.129286915;0.258824;0.478431;0.4;1
284;-0.64606972;0.24059017;1.98546034;0.0117647;0.345098;0.270588;1
285;-0.83695908;0.54986008;1.121816045;0.494118;0.376471;0.301961;1
286;-0.99319954;0.75955017;0.62436014;0.160784;0.392157;0.341176;1
287;-0.96898003;0.17480000;1.27113014;0.490196;0.313725;0.258824;1
288;-1.39050787;0.49382027;1.26710015;0.411765;0.313725;0.243137;1
289;-1.43889730;0.07647045;0.51741022;0.156863;0.282353;0.176471;1
290;-0.36945076;0.86905010;0.88808030;0.262745;0.988235;1;1
291;-0.63088913;0.61991985;1.28645998;0.529412;0.388235;0.333333;1
292;-0.84089966;0.49788006;1.28466993;0.533333;0.372549;0.298039;1
293;-0.65430946;0.71636971;1.16206008;0.141176;0.380392;0.329412;1
294;-0.42018051;0.73771008;0.226884002;0.329412;0.639216;0.552941;1
295;-0.37135048;0.86413963;0.307758004;0.482353;0.839216;0.760784;1
296;-0.35888023;1.45001991;1.29234011;0.411765;0.866667;0.760784;1
297;-0.64996071;0.07083996;1.29323013;0.592157;0.403922;0.34902;1
298;-0.70485039;0.75290020;0.51425010;0.258824;0.572549;0.501961;1
299;-0.15482063;0.84303959;1.28796011;0.529412;1;1;1
300;-0.18476982;0.62384041;1.04470998;0.0470588;0.92549;0.909804;1
301;-0.47832031;1.62988956;1.21235996;0.184314;1;1;1
302;-0.75182076;0.77091034;0.51248008;0.258824;0.568627;0.490196;1
303;-0.62956924;2.19989023;1.76891024;0.231373;0.976471;0.780392;1
304;-0.29984016;0.27696999;1.92943032;0.694118;0.611765;0.545098;1
305;-0.37419052;0.85579021;0.10121006;0.435294;0.854902;0.74902;1
306;-1.07701037;0.30577953;1.28753002;0.439216;0.294118;0.239216;1
307;-0.39381905;0.80451019;0.46829992;0.278431;0.882353;0.862745;1
308;-0.35896034;0.90476997;0.61924010;0.219608;0.996078;1;1
309;-0.31282921;2.09552012;0.13291996;0.137255;0.529412;0.352941;1
310;-1.08541987;0.01148041;0.53771001;0.0235294;0.113725;0.152941;1
311;-0.52430991;2.14993010;0.86893993;0.168627;0.792157;0.701961;1
312;-0.76743010;-0.00491993;1.10599001;0.0313725;0.984314;0.933333;1
313;-1.30354998;0.09486015;0.15704006;0.0745098;0.286275;0.184314;1
314;-0.308057134;0.48497971;1.03087004;0.0196078;0.611765;0.588235;1
315;-0.378984181;0.84239967;0.12301999;0.443137;0.482353;0.364706;1
316;-1.14902994;0.26375969;1.32541994;0.466667;0.298039;0.243137;1
317;-0.10600016;0.58792980;1.33488992;0.596078;0.717647;0.654902;1
318;-1.31263466;0.04065998;0.09192997;0.0862745;0.301961;0.215686;1
319;-1.35750313;0.06373985;1.28761013;0.411765;0.270588;0.215686;1
320;-0.41626091;0.74569996;0.53716999;0.32549;3;0.984314;1
321;-0.96996994;0.14480026;1.31144007;0.482353;0.32549;0.270588;1
322;-0.19592972;0.49193962;1.31758007;0.639216;0.65098;0.564706;1
323;-1.09171984;0.00663002;0.69656998;0.027451;0.0470588;0.0862745;1
324;-2.14614985;1.06163033;1.28308993;0.286275;0.172549;0.137255;1
325;-0.35751079;0.90316971;0.06908995;0.439216;0.835294;0.729412;1
326;-1.42788051;0.14816006;0.98931008;0.0823529;0.227451;0.129412;1
327;-0.36271019;0.88758953;0.46292001;0.282353;0.984314;0.992157;1
328;-0.45514030;0.66251953;0.72345000;0.329412;0.533333;0.427451;1
329;-0.86226006;0.20722015;1.46725943;0.466667;0.329412;0.27451;1
330;-1.29110072;0.76474007;1.50282933;0.34902;0.301961;0.239216;1
331;-0.316217345;2.08623992;0.49967009;0.337255;0.866667;0.694118;1
332;-0.362712401;0.21914013;1.43609101;0.466667;0.345098;0.290196;1
333;-1.14609073;0.69275959;1.46519119;0.407843;0.313725;0.239216;1
334;-0.59538956;0.71284016;0.34901005;0.305882;0.592157;0.513725;1
335;-0.30552025;2.06581031;0.02168995;0.262745;0.737255;0.545098;1
336;-0.42930908;0.69610985;0.58733994;0.439216;0.988235;0.988235;1
337;-0.34195061;1.89000996;1.11231022;0.321569;0.984314;0.972549;1
338;-0.37633057;0.23423965;1.8232026;0.603922;0.556863;0.505882;1
339;-0.36872978;0.87741955;0.99282008;0.368627;0.74902;0.603922;1
340;-0.46479912;0.66778954;1.04340014;0.231373;0.478431;0.411765;1
341;-0.52572937;0.68488987;0.22196985;0.341176;0.588235;0.521569;1
342;-0.30684967;2.09694968;0.22994983;0.121569;0.498039;0.333333;1
343;-0.04395981;0.54794987;1.29583010;0.572549;0.647059;0.619608;1
344;-0.36319084;0.88566978;0.19780999;0.470588;0.878431;0.772549;1
345;-0.36960907;0.86567028;0.02538997;0.447059;0.811765;0.701961;1
346;-0.74229927;0.76719959;0.48762995;0.262745;0.572549;0.494118;1
347;-0.15616913;0.66539009;1.25685006;0.482353;0.709804;0.635294;1
348;-0.99708099;0.76157959;1.05142003;0.262745;0.415686;0.27451;1
349;-1.99916957;0.91061981;1.28538996;0.278431;0.172549;0.141176;1
350;-0.35666008;0.90752991;0.12418002;0.443137;0.827451;0.760784;1
351;-0.63498039;0.72556026;1.14656004;0.313725;0.423529;0.372549;1
352;-0.65520973;0.73470028;0.53206998;0.266667;0.6;0.509804;1
353;-0.85994072;0.50986012;1.28640994;0.482353;0.372549;0.298039;1
354;-0.97800941;0.80809982;0.66325003;0.14902;0.392157;0.329412;1
355;-0.44756050;0.66168030;0.02239996;0.737255;0.721569;0.635294;1
356;-1.17845081;0.83527000;0.73041993;0.290196;0.286275;0.235294;1
357;-0.88194962;0.14282997;1.28669008;0.501961;0.333333;0.278431;1
358;-0.64301987;2.19567023;0.71538001;0.0470588;0.517647;0.458824;1
359;-0.96112938;0.83218964;0.14073997;0.211765;0.345098;0.262745;1
360;-1.17244075;0.05350025;0.10526997;0.694118;0.282353;0.247059;1
361;-0.37396930;0.85499962;0.42729002;0.294118;4;0.952941;1
362;-1.22796936;0.05756958;1.04342991;0.196078;0.188235;0.12549;1
363;-1.50610085;0.12067039;1.28744989;0.34902;0.219608;0.192157;1
364;-1.19106026;0.52575024;1.28870994;0.439216;0.305882;0.235294;1
365;-0.57179947;0.44709023;1.18665009;0.435294;0.360784;0.298039;1
366;-0.40926094;0.76078995;0.87359005;0.352941;0.819608;0.717647;1
367;-0.77328033;2.22999011;0.34196001;0.286275;0.827451;0.658824;1
